,returns
2014-01-02,-0.01582343397847563
2014-01-03,-0.00024455277081164096
2014-01-06,-0.01927576482573625
2014-01-07,0.0002537986424838496
2014-01-08,0.019552920911359434
2014-01-09,0.006629296786885412
2014-01-10,0.007884885427451438
2014-01-13,0.005821828608137366
2014-01-14,-0.0017860088348418677
2014-01-15,-0.0072880372529261234
2014-01-16,0.0035698339243543263
2014-01-17,0.003685095152459663
2014-01-20,0.009818670709545464
2014-01-21,-0.0027893960661911936
2014-01-22,0.0025296555383152253
2014-01-23,-0.017275086363605464
2014-01-24,-0.0021684460087388474
2014-01-27,-0.017157201247365608
2014-01-28,0.0034124774846909216
2014-01-29,-0.007112152464489572
2014-01-30,0.002809096064532804
2014-01-31,0.002499593701255743
2014-02-03,0.011197913298983946
2014-02-04,0.0030492542424131784
2014-02-05,-0.009214263242742233
2014-02-06,0.013220012093275413
2014-02-07,-0.003945838452384258
2014-02-10,0.005460019941526587
2014-02-11,-0.010874360925307141
2014-02-12,-0.012227918246981724
2014-02-13,0.007982902632370201
2014-02-14,-0.004202782826757381
2014-02-17,-0.005010722075506606
2014-02-18,-0.000252504681741672
2014-02-19,0.008721510204051871
2014-02-20,0.02626603089872565
2014-02-21,-0.017556930135935688
2014-02-24,-0.0039770283941873
2014-02-25,0.00035248044393394295
2014-02-26,0.009727676098359684
2014-02-27,0.009409927769114484
2014-02-28,0.012621978531214243
2014-03-03,0.001290266318438049
2014-03-04,-0.00023012551129738775
2014-03-05,-0.0012532003743648157
2014-03-06,-0.016173411837966875
2014-03-07,-0.009757216372486745
2014-03-10,0.005466696447327602
2014-03-11,0.006219585556328361
2014-03-12,0.013578201517719409
2014-03-13,0.004173015300616644
2014-03-14,0.012370058411757867
2014-03-17,-0.007954207958837134
2014-03-18,0.009631595690208328
2014-03-19,-0.0061209355637215496
2014-03-20,-0.0045161286230545996
2014-03-21,0.0021278376910240002
2014-03-24,0.008115306298858321
2014-03-25,-0.000987075672624043
2014-03-26,-0.010882446835733663
2014-03-27,0.009220737581245052
2014-03-28,0.01265528969594288
2014-03-31,-0.007521363531577783
2014-04-01,-0.003908306491262117
2014-04-02,-0.009438948239671794
2014-04-03,2.814172472293745e-05
2014-04-04,0.009357965416462907
2014-04-07,0.012800493669207049
2014-04-08,-0.004374963644132319
2014-04-09,0.007108512001561648
2014-04-10,-0.013691487749618316
2014-04-11,-0.0021730164578920635
2014-04-14,0.011077536373860978
2014-04-15,-0.000525463209282193
2014-04-16,0.0017250006731681802
2014-04-17,0.0016026261513151408
2014-04-18,0.003152079738918976
2014-04-21,0.012722116743057253
2014-04-22,0.00423863469676819
2014-04-23,0.01970070449916649
2014-04-24,0.005416073595814262
2014-04-25,-0.0028013925385204554
2014-04-28,-0.012031392920736312
2014-04-29,0.0024283986996357044
2014-04-30,-0.0017366014512342272
2014-05-01,0.014076366519002377
2014-05-02,-0.007183896414279779
2014-05-05,0.0017660282462557573
2014-05-06,0.012224109740377591
2014-05-07,-0.007215308747556718
2014-05-08,0.004123580215171286
2014-05-09,0.002915800064270257
2014-05-12,0.00047488823792553867
2014-05-13,-0.009160945103210277
2014-05-14,-0.009302562024845454
2014-05-15,-0.005070529069585899
2014-05-16,0.0021597053943340485
2014-05-19,0.020647298583180193
2014-05-20,0.0019285490298229407
2014-05-21,0.005629911718404088
2014-05-22,-0.002440583186463628
2014-05-23,-0.0031663275656520287
2014-05-26,-0.011891368776900156
2014-05-27,0.005681855658757336
2014-05-28,0.016284189185214366
2014-05-29,0.0006071362689184905
2014-05-30,-0.01132983232924316
2014-06-02,0.008507844985167117
2014-06-03,0.021120155470005623
2014-06-04,0.0008608287519370538
2014-06-05,-0.006057138138732486
2014-06-06,-0.017437862687532606
2014-06-09,0.0034747936055365787
2014-06-10,0.013439602744609381
2014-06-11,0.0177972748303733
2014-06-12,0.009243775754373943
2014-06-13,-0.02213571459603958
2014-06-16,-0.01690757315413172
2014-06-17,0.011514216582617098
2014-06-18,0.021961577404228286
2014-06-19,0.008793897838502636
2014-06-20,-0.006884219967692265
2014-06-23,0.010733190449974478
2014-06-24,0.0031343383482402105
2014-06-25,0.004842974972494731
2014-06-26,-0.006948545199122889
2014-06-27,0.0035163503912969286
2014-06-30,-0.006787356787025611
2014-07-01,-0.00710711826357498
2014-07-02,-0.008955739504201431
2014-07-03,0.007180752502286828
2014-07-04,0.0053900364567473
2014-07-07,0.0015419267964310822
2014-07-08,-0.019480056831572935
2014-07-09,0.006408376904100183
2014-07-10,-0.01183496139150784
2014-07-11,0.0014284563548584933
2014-07-14,0.003487745158288226
2014-07-15,0.0038546090428304295
2014-07-16,-0.005304457157285063
2014-07-17,0.0008664636244692241
2014-07-18,-0.011389809737106786
2014-07-21,-0.004661951973855441
2014-07-22,0.0035806630339588214
2014-07-23,-0.00026829342237568083
2014-07-24,-0.0015587664071456816
